    ch03_s01_divider        18.33s
    ch03_s02_analogy        35.49s
    ch03_s03_what           31.03s
    ch03_s04_roe            38.88s
    ch03_s05_roce           40.43s
    ch03_s06_roe_vs         40.03s
    ch03_s07_ladder         42.31s
    ch03_s08_dupont         51.14s
    ch03_s09_value          38.78s
    ch03_s10_recap          49.82s
  ch03:  6.51 min  10 scenes    794 words  122 wpm
    ch04_s01_divider        20.11s
    ch04_s02_analogy        42.50s
    ch04_s03_what           34.36s
