    ch04_s01_divider        20.11s
    ch04_s02_analogy        42.50s
    ch04_s03_what           34.36s
    ch04_s04_mcap           38.90s
    ch04_s05_ev             39.09s
    ch04_s06_ev_why         39.98s
    ch04_s07_pe             32.32s
    ch04_s08_pe_mean        36.76s
    ch04_s09_evebitda       39.62s
    ch04_s10_compare_pe     37.24s
    ch04_s11_compare_ev     35.13s
    ch04_s12_pb_yield       39.79s
    ch04_s13_map            46.41s
    ch04_s14_recap          48.47s
  ch04:  8.95 min  14 scenes   1061 words  119 wpm
    ch05_s01_divider        16.65s
    ch05_s02_analogy        38.01s
    ch05_s03_de             39.00s
    ch05_s04_de_read        38.90s
    ch05_s05_netdebt        33.19s
    ch05_s06_coverage       39.16s
    ch05_s07_debtebitda     38.01s
    ch05_s08_compare        40.22s
    ch05_s09_liquidity      39.21s
    ch05_s10_recap          46.12s
  ch05:  6.22 min  10 scenes    749 words  120 wpm
    ch06_s01_divider        19.80s
    ch06_s02_ramp           33.55s
    ch06_s03_cagr           40.51s
    ch06_s04_quality        39.79s
    ch06_s05_fcf            40.87s
    ch06_s06_conversion     39.74s
    ch06_s07_workcap        44.06s
    ch06_s08_checklist      36.23s
    ch06_s09_recap          46.03s
  ch06:  5.74 min  9 scenes    679 words  118 wpm
    ch07_s01_divider        19.97s
    ch07_s02_fivequestions  39.74s
    ch07_s03_scorecard      49.24s
    ch07_s04_compare        38.52s
    ch07_s05_cyclical       39.91s
    ch07_s06_redflags       42.16s
    ch07_s07_verdict        39.40s
    ch07_s08_recap          77.75s
  ch07:  5.84 min  8 scenes    624 words  107 wpm
