HDFCBANK	HDFC Bank Limited	Financial Services
ICICIBANK	ICICI Bank Limited	Financial Services
AXISBANK	Axis Bank Limited	Financial Services
KOTAKBANK	Kotak Mahindra Bank Limited	Financial Services
SBIN	State Bank of India	Financial Services
BANKBARODA	Bank of Baroda	Financial Services
FEDERALBNK	The Federal Bank  Limited	Financial Services
AUBANK	AU Small Finance Bank Limited	Financial Services
BAJFINANCE	Bajaj Finance Limited	Financial Services
BAJAJFINSV	Bajaj Finserv Limited	Financial Services
CHOLAFIN	Cholamandalam Investment and Finance Company Limited	Financial Services
SHRIRAMFIN	Shriram Finance Limited	Financial Services
MUTHOOTFIN	Muthoot Finance Limited	Financial Services
LTF	L&T Finance Limited	Financial Services
POONAWALLA	Poonawalla Fincorp Limited	Financial Services
FIVESTAR	Five-Star Business Finance Limited	Financial Services
APTUS	Aptus Value Housing Finance India Limited	Financial Services
HOMEFIRST	Home First Finance Company India Limited	Financial Services
BSE	BSE Limited	Financial Services
CDSL	Central Depository Services (India) Limited	Financial Services
ANGELONE	Angel One Limited	Financial Services
NUVAMA	Nuvama Wealth Management Limited	Financial Services
360ONE	360 ONE WAM LIMITED	Financial Services
ANANDRATHI	Anand Rathi Wealth Limited	Financial Services
MOTILALOFS	Motilal Oswal Financial Services Limited	Financial Services
CAMS	Computer Age Management Services Limited	Financial Services
KFINTECH	Kfin Technologies Limited	Financial Services
HDFCLIFE	HDFC Life Insurance Company Limited	Financial Services
SBILIFE	SBI Life Insurance Company Limited	Financial Services
ICICIGI	ICICI Lombard General Insurance Company Limited	Financial Services
ICICIPRULI	ICICI Prudential Life Insurance Company Limited	Financial Services
STARHEALTH	Star Health and Allied Insurance Company Limited	Financial Services
MFSL	Max Financial Services Limited	Financial Services
LICI	Life Insurance Corporation Of India	Financial Services
JIOFIN	Jio Financial Services Limited	Financial Services
PAYTM	One 97 Communications Limited	Financial Services
POLICYBZR	PB Fintech Limited	Financial Services
LT	Larsen & Toubro Limited	Construction
SIEMENS	Siemens Limited	Capital Goods
ABB	ABB India Limited	Capital Goods
CUMMINSIND	Cummins India Limited	Capital Goods
THERMAX	Thermax Limited	Capital Goods
KAYNES	Kaynes Technology India Limited	Capital Goods
SYRMA	Syrma SGS Technology Limited	Capital Goods
DIXON	Dixon Technologies (India) Limited	Consumer Durables
AMBER	Amber Enterprises India Limited	Consumer Durables
HAL	Hindustan Aeronautics Limited	Capital Goods
BEL	Bharat Electronics Limited	Capital Goods
BDL	Bharat Dynamics Limited	Capital Goods
MAZDOCK	Mazagon Dock Shipbuilders Limited	Capital Goods
COCHINSHIP	Cochin Shipyard Limited	Capital Goods
DATAPATTNS	Data Patterns (India) Limited	Capital Goods
SOLARINDS	Solar Industries India Limited	Chemicals
ASTRAMICRO	Astra Microwave Products Limited	Capital Goods
MTARTECH	Mtar Technologies Limited	Capital Goods
ZENTEC	Zen Technologies Limited	Capital Goods
PARAS	Paras Defence and Space Technologies Limited	Capital Goods
BEML	BEML Limited	Capital Goods
TITAGARH	TITAGARH RAIL SYSTEMS LIMITED	Capital Goods
JWL	Jupiter Wagons Limited	Capital Goods
RVNL	Rail Vikas Nigam Limited	Construction
IRCON	Ircon International Limited	Construction
TEXRAIL	Texmaco Rail & Engineering Limited	Capital Goods
