ticker,ok,mcap_cr,price,pe,roe,roce,div_yld,book_value,sales_g_5y,sales_g_3y,sales_g_ttm,profit_g_5y,profit_g_3y,profit_g_ttm,price_cagr_5y,price_cagr_3y
BHARTIARTL,False,,,,,,,,,,,,,,,
BHARTIHEXA,False,,,,,,,,,,,,,,,
INDUSTOWER,False,,,,,,,,,,,,,,,
TATACOMM,False,,,,,,,,,,,,,,,
RELIANCE,False,,,,,,,,,,,,,,,
COALINDIA,False,,,,,,,,,,,,,,,
ADANIPORTS,False,,,,,,,,,,,,,,,
ADANIENT,False,,,,,,,,,,,,,,,
IOC,False,,,,,,,,,,,,,,,
GAIL,False,,,,,,,,,,,,,,,
PETRONET,False,,,,,,,,,,,,,,,
IGL,False,,,,,,,,,,,,,,,
HINDALCO,False,,,,,,,,,,,,,,,
ASIANPAINT,False,,,,,,,,,,,,,,,
PIDILITIND,False,,,,,,,,,,,,,,,
JSWENERGY,False,,,,,,,,,,,,,,,
WAAREEENER,False,,,,,,,,,,,,,,,
PREMIERENE,False,,,,,,,,,,,,,,,
SUZLON,False,,,,,,,,,,,,,,,
INDIGO,False,,,,,,,,,,,,,,,
CONCOR,False,,,,,,,,,,,,,,,
NMDC,False,,,,,,,,,,,,,,,
AMBUJACEM,False,,,,,,,,,,,,,,,
HFCL,False,,,,,,,,,,,,,,,
