ticker,name,sector,mcap_cr,pe,roe,roce,sg5,pg5,growth,quality,peg,score,fin
BSE,BSE Limited,Financial Services,140425.0,49.6,46.0,60.0,69.0,94.0,60.0,46.0,0.8266666666666667,117.4,True
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,36102.0,77.6,47.3,59.2,55.0,,49.333333333333336,47.3,1.5729729729729727,111.4,True
DIXON,Dixon Technologies (India) Limited,Consumer Durables,86449.0,46.0,37.4,42.0,55.0,27.0,46.75,39.7,0.983957219251337,110.8,False
NUVAMA,Nuvama Wealth Management Limited,Financial Services,30910.0,28.5,27.4,17.5,59.0,,55.0,27.4,0.5181818181818182,102.3,True
SOLARINDS,Solar Industries India Limited,Chemicals,180802.0,90.8,32.6,38.1,45.0,63.0,48.75,35.35,1.8625641025641024,99.4,False
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Durables,62657.0,42.9,24.8,20.5,195.0,56.0,50.75,22.65,0.8453201970443349,94.9,False
APARINDS,Apar Industries Limited,Capital Goods,67010.0,55.6,20.2,31.1,44.0,94.0,45.0,25.65,1.2355555555555555,94.8,False
LICI,Life Insurance Corporation Of India,Financial Services,521180.0,8.65,37.8,35.1,81.0,,28.333333333333332,37.8,0.3052941176470588,94.4,True
LUPIN,Lupin Limited,Healthcare,102192.0,17.2,28.7,29.9,37.0,18.0,35.75,29.299999999999997,0.4811188811188811,93.4,False
TRENT,Trent Limited,Consumer Services,159436.0,87.1,27.7,28.3,69.0,38.0,47.5,28.0,1.8336842105263156,92.3,False
BEL,Bharat Electronics Limited,Capital Goods,300213.0,48.9,27.4,36.4,24.0,48.0,36.5,31.9,1.3397260273972602,90.0,False
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,114138.0,10.0,30.9,15.8,23.0,15.0,28.0,30.9,0.35714285714285715,86.6,True
ASTRAMICRO,Astra Microwave Products Limited,Capital Goods,16501.0,87.4,16.0,20.2,46.0,59.0,51.25,18.1,1.7053658536585368,83.5,False
HINDZINC,Hindustan Zinc Limited,Metals & Mining,236829.0,13.8,76.6,69.5,12.0,13.0,14.25,73.05,0.968421052631579,79.4,False
M&M,Mahindra & Mahindra Limited,Automobile and Auto Components,425536.0,22.3,20.3,15.1,51.0,35.0,34.75,17.7,0.641726618705036,79.3,False
LTF,L&T Finance Limited,Financial Services,76798.0,24.0,11.2,8.4,32.0,30.0,39.75,11.2,0.6037735849056604,79.1,True
KAYNES,Kaynes Technology India Limited,Capital Goods,24604.0,70.8,9.64,13.2,108.0,,48.666666666666664,11.42,1.4547945205479451,78.8,False
ZENTEC,Zen Technologies Limited,Capital Goods,16773.0,92.3,10.7,16.2,128.0,85.0,52.5,13.45,1.758095238095238,78.4,False
EICHERMOT,Eicher Motors Limited,Automobile and Auto Components,222142.0,38.2,24.0,30.5,33.0,26.0,29.25,27.25,1.305982905982906,76.9,False
KFINTECH,Kfin Technologies Limited,Financial Services,16260.0,46.4,21.6,29.2,48.0,,34.0,21.6,1.3647058823529412,76.5,True
VEDL,Vedanta Limited,Metals & Mining,105092.0,9.71,38.2,16.1,8.0,18.0,22.5,27.150000000000002,0.4315555555555556,75.7,False
