TOTAL scored: 168

### Automobile and Auto Components  (14)
  ticker           mcap     PE    ROE   ROCE   sg5   pg5   grw  qual   peg  score
  M&M            425536   22.3  20.3  15.1  51.0  35.0  34.8  17.7  0.64   79.3
  EICHERMOT      222142   38.2  24.0  30.5  33.0  26.0  29.2  27.2  1.31   76.9
  BAJAJ-AUTO     320391   27.2  29.2  28.2  17.0  25.0  24.8  28.7  1.10   74.6
  HEROMOTOCO     115504   20.8  28.1  35.2  16.0  16.0  21.2  31.7  0.98   74.3
  UNOMINDA        71710   58.6  19.3  19.6  43.0  28.0  30.8  19.5  1.91   66.1
  MOTHERSON      178370   39.1  11.2  13.4  32.0  16.0  31.5  12.3  1.24   65.2
  MARUTI         436076   30.4  14.3  18.9  27.0  15.0  21.2  16.6  1.43   55.7
  JBMA            14722   63.9  15.6  14.8  35.0  46.0  25.5  15.2  2.51   50.8
  ENDURANCE       40711   41.3  14.9  17.8  12.0  12.0  18.0  16.4  2.29   44.6
  CRAFTSMAN       26808   96.5   7.7  10.3  18.0  39.0  21.0   9.0  4.60   34.2
  SUNDRMFAST      25553   41.1  14.9  17.6  11.0  10.0   7.2  16.2  5.67   24.9
  EXIDEIND        40434   43.2   6.0   8.5   1.0  24.0  12.2   7.3  3.53   22.0
  ARE&M           17307   23.7   7.2  12.2  -3.0   5.0   2.0   9.7 11.85   12.1
  SKFINDIA         7781   33.5  14.8  24.2   0.0   4.0  -6.5  19.5    --   11.7

### Capital Goods  (21)
  ticker           mcap     PE    ROE   ROCE   sg5   pg5   grw  qual   peg  score
  APARINDS        67010   55.6  20.2  31.1  44.0  94.0  45.0  25.6  1.24   94.8
  BEL            300213   48.9  27.4  36.4  24.0  48.0  36.5  31.9  1.34   90.0
  ASTRAMICRO      16501   87.4  16.0  20.2  46.0  59.0  51.2  18.1  1.71   83.5
  KAYNES          24604   70.8   9.6  13.2 108.0    --  48.7  11.4  1.45   78.8
  ZENTEC          16773   92.3  10.7  16.2 128.0  85.0  52.5  13.4  1.76   78.4
  COCHINSHIP      39199   54.7  12.5  16.0   4.0  53.0  39.2  14.2  1.39   75.2
  POLYCAB        138999   48.5  23.0  33.2  24.0  37.0  28.5  28.1  1.70   73.7
  ABB            162004  105.0  22.4  29.9    --  35.0  28.0  26.1  3.75   59.8
  APLAPOLLO       57829   47.0  25.3  31.6  27.0  21.0  20.0  28.5  2.35   58.7
  TITAGARH        11210   49.1   8.1  11.7  34.0  55.0  28.2   9.9  1.74   54.9
  SIEMENS        139850   93.0  19.2  21.4  30.0  25.0  25.8  20.3  3.61   51.2
  ELGIEQUIP       19308   41.7  19.0  22.1  31.0  23.0  17.8  20.6  2.35   48.1
  BDL             51280   98.5  10.2  13.8  10.0  49.0  25.2  12.0  3.90   42.3
  THERMAX         48262   87.7  10.6  13.9  18.0  24.0  16.2  12.2  5.40   31.8
  BEML            15618   87.5   4.9   7.7  16.0  29.0  17.0   6.3  5.15   26.7
  TIMKEN          24648   57.8  14.3  19.0    --  16.0   8.0  16.6  7.22   26.2
  FINPIPE          9897   16.0   9.7  12.7  -4.0  -1.0   6.2  11.2  2.56   23.2
  SUPREMEIND      45326   43.8  15.8  20.7  -1.0  11.0   2.0  18.2 21.90   20.6
  RATNAMANI       16451   37.5  12.6  17.9  12.0  10.0   4.0  15.2  9.38   20.1
  PRAJIND          6148  122.0   1.5   6.1 -24.0  -1.0 -13.2   3.8    --  -12.1
  PRINCEPIPE       3147   30.2   4.7   6.1 -20.0 -15.0 -17.5   5.4    --  -15.6

### Chemicals  (9)
  ticker           mcap     PE    ROE   ROCE   sg5   pg5   grw  qual   peg  score
  SOLARINDS      180802   90.8  32.6  38.1  45.0  63.0  48.8  35.4  1.86   99.4
  COROMANDEL      61804   31.7  17.3  24.6   9.0  20.0  13.5  21.0  2.35   43.4
  NAVINFLUOR      42290   74.0  15.3  20.8  14.0  17.0  17.5  18.1  4.23   39.0
  FLUOROCHEM      51920   84.0   7.6   9.9  36.0  22.0  14.0   8.7  6.00   25.5
  SRF             77159   34.5  14.3  14.6  10.0   8.0   4.5  14.4  7.67   19.8
  PIIND           37930   26.8  14.2  18.0  17.0  -5.0   1.8  16.1 15.31   18.2
  ATUL            19850   25.0  11.5  14.9   1.0  -5.0   1.5  13.2 16.67   15.0
  CLEAN            8721   37.4  15.3  20.6   3.0 -12.0  -8.2  18.0    --    8.1
  DEEPAKNTR       23519   29.7   9.8  11.4  -7.0  -5.0  -7.8  10.6    --    1.3

### Construction  (7)
  ticker           mcap     PE    ROE   ROCE   sg5   pg5   grw  qual   peg  score
  KPIL            23088   20.8  13.7  18.3  13.0  26.0  26.0  16.0  0.80   65.8
  NCC              8834   12.2   9.2  16.8  22.0  12.0   9.5  13.0  1.28   39.1
  LT             557886   31.7  15.9  14.6   3.0  20.0  13.8  15.2  2.31   38.3
  RVNL            47351   52.7   9.0  10.8  -2.0  50.0  14.2   9.9  3.70   27.0
  IRCON           11738   22.4   9.2   9.7   9.0  23.0   7.8   9.4  2.89   20.6
  GRINFRA          8432    9.0   9.2  11.9  -3.0 -12.0 -10.8  10.6    --   -2.3
  KNRCON           3724   33.2   2.9   4.6 -14.0 -14.0 -16.8   3.7    --  -16.4

### Construction Materials  (5)
  ticker           mcap     PE    ROE   ROCE   sg5   pg5   grw  qual   peg  score
  NUVOCO          11824   28.4   4.2   7.0 101.0    --  19.0   5.6  1.49   41.4
  ULTRACEMCO     342858   44.9  10.3  12.6   7.0   9.0  11.0  11.4  4.08   24.6
  STARCEMENT       8076   60.1   8.2  12.0  -6.0  12.0   1.8  10.1 34.34   12.2
  DALBHARAT       34555  258.0   1.8   2.1  42.0  -1.0   7.2   1.9 35.59   10.6
  SHREECEM        89138   54.7   7.5  10.3  -6.0  -1.0   1.2   8.9 43.76   10.4

### Consumer Durables  (13)
  ticker           mcap     PE    ROE   ROCE   sg5   pg5   grw  qual   peg  score
  DIXON           86449   46.0  37.4  42.0  55.0  27.0  46.8  39.7  0.98  110.8
  KALYANKJIL      62657   42.9  24.8  20.5 195.0  56.0  50.8  22.6  0.85   94.9
  BLUESTARCO      31009   58.7  17.2  21.2  50.0  30.0  33.2  19.2  1.77   70.0
  TITAN          450552   77.2  37.7  20.5  40.0  22.0  24.5  29.1  3.15   58.5
  AMBER           25464  129.0   6.0  10.2  18.0  20.0  21.5   8.1  6.00   33.9
  KAJARIACER      19710   34.2  17.9  23.3  11.0   4.0   6.0  20.6  5.70   27.8
  VGUARD          14252   43.9  12.9  16.8   6.0   7.0   7.8  14.9  5.66   24.1
  BERGEPAINT      63506   51.7  17.3  21.6  10.0  -4.0   3.5  19.5 14.77   23.7
  VOLTAS          43842  112.0   6.1   9.0  -6.0   6.0   8.2   7.6 13.58   17.5
  KANSAINER       16540   24.4   9.3  12.6   3.0 -13.0  -3.8  10.9    --    6.4
  TTKPRESTIG       8149   35.4  10.2  13.7  -2.0  -8.0  -6.5  11.9    --    4.1
  CROMPTON        15992   35.3  10.6  18.1 -11.0 -12.0  -9.8  14.4    --    2.7
  SYMPHONY         4276 1099.0   3.0  20.6 -30.0  -7.0 -14.5  11.8    --   -5.6

### Consumer Services  (7)
