    ch03_div                20.88s
    ch03_board              18.67s
    ch03_s17_dixon          49.91s
    ch03_s18_kalyankjil     46.50s
    ch03_s19_trent          47.20s
    ch03_s20_vbl            46.48s
    ch03_s21_aparinds       48.44s
    ch03_s22_bluestarco     45.71s
    ch03_s23_kpittech       48.61s
    ch03_s24_coforge        45.01s
    ch03_s25_shriramfin     45.37s
    ch03_s26_cholafin       49.07s
    ch03_s27_maxhealth      46.48s
    ch03_s28_apollohosp     50.27s
    ch03_s29_phoenixltd     47.27s
    ch03_s30_brigade        44.82s
    ch03_s31_cams           47.46s
    ch03_s32_cdsl           46.36s
    ch03_s33_bse            46.33s
    ch03_s34_lupin          44.27s
    ch03_wrap               28.96s
  ch03: 15.40 min  21 scenes   1555 words  101 wpm
    ch04_div                23.30s
    ch04_board              18.19s
    ch04_s35_zentec         47.24s
    ch04_s36_astramicro     48.18s
    ch04_s37_kaynes         47.70s
    ch04_s38_cochinship     47.27s
    ch04_s39_titagarh       45.54s
    ch04_s40_vedl           47.00s
    ch04_s41_hindzinc       46.16s
    ch04_s42_nuvama         46.16s
    ch04_s43_policybzr      47.27s
    ch04_s44_coromandel     47.56s
    ch04_s45_fortis         46.74s
    ch04_s46_medanta        46.67s
    ch04_s47_ntpc           47.92s
    ch04_s48_tatapower      47.12s
    ch04_s49_radico         47.29s
    ch04_s50_motilalofs     46.64s
    ch04_wrap               28.46s
  ch04: 13.86 min  19 scenes   1397 words  101 wpm
    ch05_div                17.16s
    ch05_grid               28.22s
    ch05_alloc              28.03s
    ch05_risk               44.63s
    ch05_use                31.43s
    ch05_recap              41.05s
  ch05:  3.22 min  6 scenes    377 words  117 wpm
